,,,tot_carbon_footprint_actual,tot_carbon_footprint_actual,migration_carbon_footprint_actual,migration_carbon_footprint_actual,tot_water_footprint_actual,tot_water_footprint_actual,migration_water_footprint_actual,migration_water_footprint_actual,tot_land_use_footprint_actual,tot_land_use_footprint_actual,migration_land_use_footprint_actual,migration_land_use_footprint_actual,tot_carbon_footprint_forecast,tot_carbon_footprint_forecast,migration_carbon_footprint_forecast,migration_carbon_footprint_forecast,tot_water_footprint_forecast,tot_water_footprint_forecast,migration_water_footprint_forecast,migration_water_footprint_forecast,tot_land_use_footprint_forecast,tot_land_use_footprint_forecast,migration_land_use_footprint_forecast,migration_land_use_footprint_forecast,centralus,centralus,eastus2,eastus2,southcentralus,southcentralus,swedencentral,swedencentral,migration,migration,tot_carbon_footprint_forecast_improvement,tot_carbon_footprint_forecast_improvement,tot_carbon_footprint_actual_improvement,tot_carbon_footprint_actual_improvement,tot_water_footprint_forecast_improvement,tot_water_footprint_forecast_improvement,tot_water_footprint_actual_improvement,tot_water_footprint_actual_improvement,tot_land_use_footprint_forecast_improvement,tot_land_use_footprint_forecast_improvement,tot_land_use_footprint_actual_improvement,tot_land_use_footprint_actual_improvement,centralus_perc,centralus_perc,eastus2_perc,eastus2_perc,southcentralus_perc,southcentralus_perc,swedencentral_perc,swedencentral_perc
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
algorithm,mae,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,0.15,autumn,412420.01755751885,2298.9036327999124,0.0,0.0,5412.566286986721,60.67899948613917,0.0,0.0,37.83739248560588,0.32816161989573867,0.0,0.0,440626.79888080567,2477.352371422588,0.0,0.0,5811.719775262157,63.35224704844002,0.0,0.0,41.610552418648076,0.35974354603669295,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.15,spring,445416.56449209753,2605.888241995329,0.0,0.0,6579.942722434374,76.9391158119333,0.0,0.0,33.402832010227726,0.24247502047211594,0.0,0.0,484418.10089950595,2980.792174405183,0.0,0.0,6930.2990684808,79.33998969174534,0.0,0.0,36.54537251092503,0.26309283861985666,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.15,summer,550419.4997379805,3405.451873177583,0.0,0.0,6344.748001019897,68.84418199153887,0.0,0.0,25.003112426012027,0.18613050302872922,0.0,0.0,562594.4293489327,3433.561098164075,0.0,0.0,6697.401562548338,71.17781160367312,0.0,0.0,29.52893339206125,0.22065871279049165,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.15,winter,560991.0114866956,3158.9612915944913,0.0,0.0,6339.8899911537665,71.91487861636347,0.0,0.0,31.32782975540654,0.2682479334015451,0.0,0.0,582441.7212818363,3450.933558285421,0.0,0.0,6673.986537436619,74.03083361016053,0.0,0.0,34.95000941293874,0.2858407815634195,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.2,autumn,412420.01755751885,2298.9036327999124,0.0,0.0,5412.566286986721,60.67899948613917,0.0,0.0,37.83739248560588,0.32816161989573867,0.0,0.0,438044.9495217952,2502.889226332289,0.0,0.0,5932.0510021470445,63.71724957874051,0.0,0.0,43.318030877044464,0.36167217072011393,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.2,spring,445416.56449209753,2605.888241995329,0.0,0.0,6579.942722434374,76.9391158119333,0.0,0.0,33.402832010227726,0.24247502047211594,0.0,0.0,484341.411686985,3007.549839013173,0.0,0.0,7049.852504663431,80.19774029161317,0.0,0.0,38.268052205097895,0.2783469479168207,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.2,summer,550419.4997379805,3405.451873177583,0.0,0.0,6344.748001019897,68.84418199153887,0.0,0.0,25.003112426012027,0.18613050302872922,0.0,0.0,569222.3312831195,3459.344968166081,0.0,0.0,6803.926381298199,72.00613025505179,0.0,0.0,30.793091202482213,0.23286073347310704,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.2,winter,560991.0114866956,3158.9612915944913,0.0,0.0,6339.8899911537665,71.91487861636347,0.0,0.0,31.32782975540654,0.2682479334015451,0.0,0.0,576379.4644562806,3336.2943981024555,0.0,0.0,6840.1377044776455,75.18822809026537,0.0,0.0,37.43842035659041,0.31147384171680903,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
"R_[0.0, 0.0, 1.0]",0.05,autumn,517119.51947919076,4004.504883017724,0.0,0.0,3176.6658522611856,22.349067860882478,0.0,0.0,16.219875228334736,0.12219011708135603,0.0,0.0,518210.00723509793,4005.7049846299315,0.0,0.0,3230.5365197283195,22.75326769195584,0.0,0.0,17.077353456189233,0.12847793231140817,0.0,0.0,,,918235.1666666666,1856.7089612178593,,,9171.666666666666,105.18491653591148,517254.3333333333,549.1421188241309,-22.60884274351456,0.46985021247142317,-25.385951261609737,0.5007369615351883,41.61202456347154,0.28416142463693633,41.306965122969125,0.2923251660409385,56.24361485776611,0.1686871969900283,57.132071490605135,0.1682282931616018,,,99.01102740413133,0.012622181337067901,,,0.988972595868673,0.012622181337065387
"R_[0.0, 0.0, 1.0]",0.05,spring,529254.0792961417,4053.46626603118,0.0,0.0,3922.8695974911534,31.958428355744854,0.0,0.0,19.171564507530192,0.14319854337730162,0.0,0.0,529948.6356341679,4016.954764871187,0.0,0.0,3986.7800641726135,32.57586053886695,0.0,0.0,20.2142693168785,0.15449865256539805,0.0,0.0,,,854126.0,1592.4205474685377,,,73280.83333333333,357.0296439606476,517247.6666666667,388.1193974367427,-16.35298233427387,0.32348812478668315,-18.821519154457448,0.35825033746924406,40.46803850849864,0.3206636672160172,40.37891526886715,0.32687571414936084,41.633556074604506,0.20903831438430417,42.60470546219646,0.214777375957426,,,92.09832188070845,0.031388168792217584,,,7.901678119291553,0.03138816879221712
