platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr,arrival_location
AWS,c4.xlarge,2.9,6,4,8.053049999999999,48060213264,lr,2024-01-21T12:00:00Z,5040.627,7487744.435897436,97.75742501209484,16.748598209966136,aws_us-east-1
AWS,c4.2xlarge,2.9,4,8,16.106099999999998,48060214464,lr,2024-01-21T13:00:00Z,5166.932,15169268.007117435,98.49567081850532,11.90238078291815,aws_us-east-1
AWS,m4.large,2.4,10,2,8.58992,48060203000,lr,2024-01-21T14:00:00Z,3802.788,7771205.242285715,95.05349047619046,20.033798095238097,aws_us-east-1
AWS,c4.xlarge,2.9,10,4,8.053049999999999,48060206000,lr,2024-01-21T14:00:00Z,4427.794,7450329.07171648,97.26900905011787,10.095459730778009,aws_us-east-1
AWS,c4.xlarge,2.9,16,4,8.053049999999999,48060238592,lr,2024-01-21T15:00:00Z,3906.204,7140901.504037164,93.22917984736202,5.980986616524722,aws_us-east-1
AWS,m4.large,2.4,4,2,8.58992,24060201200,lr,2024-01-21T15:00:00Z,5123.189,8007998.263157895,97.949873294347,21.713808479532165,aws_us-east-1
AWS,m4.large,2.4,4,2,8.58992,6104163694,pagerank,2024-01-22T00:00:00Z,5460.354,4752554.815914489,58.130948634204266,69.55355255344418,aws_us-east-1
AWS,c4.xlarge,2.9,6,4,8.053049999999999,48060213264,lr,2024-01-21T02:00:00Z,5040.627,7487744.435897436,97.75742501209484,16.748598209966136,aws_us-east-1
AWS,m4.large,2.4,6,2,8.58992,6104217589,pagerank,2024-01-21T02:00:00Z,3985.015,3802651.4990491713,46.51212849769085,68.22254278728606,aws_us-east-1
AWS,c4.xlarge,2.9,10,4,8.053049999999999,48060206000,lr,2024-01-21T03:00:00Z,4427.794,7450329.07171648,97.26900905011787,10.095459730778009,aws_us-east-1
AWS,m4.large,2.4,4,2,8.58992,6104163694,pagerank,2024-01-21T04:00:00Z,5460.354,4752554.815914489,58.130948634204266,69.55355255344418,aws_us-east-1
AWS,r4.large,2.3,4,2,16.374534999999998,6104163694,pagerank,2024-01-21T05:00:00Z,5487.277,4858143.754437869,31.024637573964498,69.15171301775148,aws_us-east-1
AWS,c4.large,2.9,4,2,4.0265249999999995,102653670064,wordcount,2024-01-21T07:00:00Z,4661.711,3662059.5294542825,94.9989591615468,60.750308998915784,aws_us-east-1
AWS,c4.large,2.9,16,2,4.0265249999999995,48060214464,lr,2024-01-21T09:00:00Z,4445.735,3734888.740797916,96.8882112016981,13.048783347001784,aws_us-east-1
AWS,r4.large,2.3,4,2,16.374534999999998,102653486885,wordcount,2024-01-21T11:00:00Z,4888.568,14536174.332008982,92.82946104681292,61.792950423216446,aws_us-east-1
AWS,m4.large,2.4,10,2,8.58992,48060203000,lr,2024-01-21T12:00:00Z,3802.788,7771205.242285715,95.05349047619046,20.033798095238097,aws_us-east-1
AWS,c4.2xlarge,2.9,8,8,16.106099999999998,48060238592,lr,2024-01-21T13:00:00Z,3948.893,15036564.126275202,97.6339448951723,6.519945377138726,aws_us-east-1
AWS,r4.large,2.3,6,2,16.374534999999998,6104217589,pagerank,2024-01-21T14:00:00Z,3953.812,3773347.605442177,24.09695918367347,68.10979455782314,aws_us-east-1
AWS,c4.large,2.9,12,2,4.0265249999999995,48060213264,lr,2024-01-21T15:00:00Z,4696.213,3749929.935893522,97.27837047438793,17.636683558214788,aws_us-east-1
