platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr
AWS,r3.xlarge,2.5,1,4,32.749069999999996,395478955,pagerank,231.186,14736578.468085106,46.90765957446808,86.32893617021277
AWS,c3.large,2.8,1,2,4.0265249999999995,1209030600,lr,1028.247,3695301.6585365855,95.86131707317072,27.92375609756098
AWS,r3.xlarge,2.5,1,4,32.749069999999996,-1,gradient-boosted-tree,39.49903320699923,4469965.142857143,14.228571428571428,56.10285714285715
AWS,c4.large,2.9,1,2,4.0265249999999995,-1,pca,81.51193025900284,3198543.0,82.975,57.115625
AWS,m4.2xlarge,2.4,1,8,34.35968,6569838333,wordcount,180.93,17010927.77142857,51.62914285714286,21.693428571428573
AWS,c4.xlarge,2.9,1,4,8.053049999999999,-1,block-matrix-mult,127.74038525099968,4626570.333333333,60.4025,28.080416666666668
AWS,c3.large,2.8,1,2,4.0265249999999995,-1,classification,2328.584414527002,3752347.466666667,97.3412258064516,51.77761290322581
AWS,c4.xlarge,2.9,1,4,8.053049999999999,-1,word2vec,209.69770116200004,5787026.952380952,75.55333333333334,44.03190476190476
AWS,m4.2xlarge,2.4,1,8,34.35968,6569852688,sort,1042.059,18729759.23809524,56.84604761904762,3.6678571428571423
AWS,r4.2xlarge,2.3,1,8,65.49813999999999,743932981,aggregation,91.646,24935967.8,39.654,56.9455
AWS,r3.large,2.5,1,2,16.106099999999998,-1,chi-sq-feature,506.7571260379991,9270736.475247525,59.17673267326733,53.649207920792094
AWS,m3.large,2.6,1,2,7.516179999999999,125209992,pagerank,1084.354,3193447.633027523,41.692844036697245,85.09798165137613
AWS,m4.2xlarge,2.4,1,8,34.35968,-1,word2vec,125.83989888999986,15838187.84,48.0708,79.318
AWS,r3.2xlarge,2.5,1,8,65.49813999999999,128134600,als,223.074,13527192.095238095,21.5,20.59190476190476
