platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_usr
AWS,m4.xlarge,2.4,8,4,17.18,2993511650,pagerank,2018-01-05 03:36:42,991.099,2817997.9648241205,17.1481783919598,70.89880025125628
AWS,c4.large,2.9,10,2,4.03,50000000000,terasort,2018-01-06 03:49:05,1147.554,3499321.505841627,90.7773128515794,30.906438771094763
AWS,m4.large,2.4,6,2,8.59,48060204216,lr,2018-01-06 13:54:20,7101.319,8003489.05758427,97.89475304307116,21.258624765917602
AWS,r4.xlarge,2.3,6,4,32.75,93794653223,join,2018-01-06 00:29:40,462.404,23916957.383512545,76.16879928315412,62.63559139784945
AWS,r4.2xlarge,2.3,8,8,65.5,93796077661,join,2018-01-04 20:32:31,363.783,25591316.09589041,40.6971404109589,36.845
AWS,r4.2xlarge,2.3,6,8,65.5,93799843802,join,2018-01-05 23:37:01,352.733,29501679.57746479,46.916596244131455,46.07737089201878
AWS,r4.xlarge,2.3,4,4,32.75,48060202400,lr,2018-01-05 18:05:58,2222.095,27492622.747520976,87.55633104500382,29.301536994660566
AWS,r4.large,2.3,6,2,16.37,6104217589,pagerank,2018-01-06 12:38:42,3953.812,3773347.605442177,24.09695918367347,68.10979455782314
AWS,r4.xlarge,2.3,8,4,32.75,2993511650,pagerank,2018-01-05 03:30:05,291.254,12058582.847457627,38.403072033898304,67.00872881355932
AWS,r4.large,2.3,6,2,16.37,51326749916,wordcount,2018-01-05 23:26:24,1768.283,9148797.035095928,58.42522227421619,58.89768834815162
AWS,r4.large,2.3,6,2,16.37,2993504008,pagerank,2018-01-06 03:15:43,2154.288,2903787.989197531,18.543888888888887,67.81334104938271
AWS,c4.2xlarge,2.9,6,8,16.11,2993552826,pagerank,2018-01-06 01:12:08,312.558,11671803.375661375,75.78621693121691,72.36701058201058
AWS,r4.large,2.3,8,2,16.37,93793622935,join,2018-01-05 03:52:28,657.118,14842402.958333334,94.78511363636363,66.83249053030303
AWS,r4.xlarge,2.3,4,4,32.75,6104143946,pagerank,2018-01-05 19:47:46,1155.448,20409185.605341244,64.99742581602374,78.662381305638
AWS,c4.large,2.9,8,2,4.03,24060202400,lr,2018-01-04 08:48:29,2573.909,3752292.1328162868,97.33970673776055,21.29603974793989
AWS,r4.large,2.3,4,2,16.37,93795732950,join,2018-01-05 11:25:05,1142.904,15341026.68558952,97.96943231441048,68.59604803493451
AWS,c4.2xlarge,2.9,6,8,16.11,6104100736,pagerank,2018-01-06 04:29:03,1081.062,4950582.860640301,32.144656308851225,69.01957156308852
AWS,r4.large,2.3,6,2,16.37,50000000000,terasort,2018-01-06 01:21:51,1761.128,13765328.742345737,87.90679227508242,40.25637305699482
AWS,c4.xlarge,2.9,8,4,8.05,93799252261,join,2018-01-04 06:22:18,357.729,7127467.25,93.05401041666667,57.26824652777777
AWS,c4.large,2.9,8,2,4.03,6104143946,pagerank,2018-01-04 21:49:44,2758.024,2892565.445100354,75.03717680047227,67.68126328217237
AWS,m4.large,2.4,4,2,8.59,24060201200,lr,2018-01-05 14:48:41,5123.189,8007998.263157895,97.94987329434699,21.713808479532165
AWS,m4.xlarge,2.4,4,4,17.18,93793622935,join,2018-01-05 09:15:56,597.165,15973128.025,97.20102083333335,71.57877083333332
AWS,r4.xlarge,2.3,4,4,32.75,24060202400,lr,2018-01-05 10:38:27,1039.560,21498544.019138757,68.46688995215311,28.221626794258373
AWS,r4.2xlarge,2.3,8,8,65.5,2993413257,pagerank,2018-01-04 20:52:17,677.297,3823739.154411765,6.0809283088235295,65.45194852941177
AWS,m4.xlarge,2.4,8,4,17.18,50000000000,terasort,2018-01-05 02:35:18,904.954,13853940.182685753,84.30494887525562,26.850327198364013
AWS,c4.large,2.9,4,2,4.03,2993564169,pagerank,2018-01-05 12:12:16,2586.856,3099484.6165703274,80.40488439306358,68.91491329479769
AWS,r4.2xlarge,2.3,10,8,65.5,6104130678,pagerank,2018-01-06 06:38:50,855.242,4359113.754455445,6.9321914191419145,66.14643234323432
AWS,m4.large,2.4,6,2,8.59,6104217589,pagerank,2018-01-06 11:50:15,3985.015,3802651.4990491713,46.51212849769085,68.22254278728606
AWS,c4.2xlarge,2.9,10,8,16.11,51326874471,wordcount,2018-01-06 02:41:52,289.761,7304756.27953411,47.430665557404325,52.08287853577371
AWS,c4.large,2.9,10,2,4.03,2993466603,pagerank,2018-01-06 04:57:04,1234.447,2215571.8258064515,57.47505645161291,69.32689516129032
AWS,m4.xlarge,2.4,10,4,17.18,93795477368,join,2018-01-06 03:45:14,352.511,14156356.18028169,86.14547887323944,54.77291549295775
AWS,r4.large,2.3,10,2,16.37,48060203000,lr,2018-01-06 11:52:52,2222.539,12749734.174631268,81.42114896755163,25.003750737463125
AWS,r4.xlarge,2.3,4,4,32.75,6104143946,pagerank,2018-01-05 17:24:33,2930.662,5703463.610132159,18.16395925110132,71.61261839207049
AWS,m4.xlarge,2.4,4,4,17.18,2993473154,pagerank,2018-01-05 11:33:58,663.231,13061968.865671642,79.48559701492537,81.60214552238806
AWS,r4.2xlarge,2.3,4,8,65.5,51326950795,wordcount,2018-01-05 07:17:36,593.877,15632658.649895178,24.860482180293502,65.62540880503144
AWS,c4.xlarge,2.9,4,4,8.05,24060202400,lr,2018-01-05 10:51:07,3146.266,7496004.9,97.86531349206349,16.49482936507936
AWS,m4.2xlarge,2.4,6,8,34.36,6104100736,pagerank,2018-01-06 05:27:39,572.706,19745601.516966067,59.92938123752496,68.01725548902195
AWS,m4.xlarge,2.4,4,4,17.18,2993473154,pagerank,2018-01-05 10:13:43,1568.445,4126613.1047619046,25.111658730158734,72.68688095238096
AWS,m4.2xlarge,2.4,10,8,34.36,2993405732,pagerank,2018-01-06 04:36:18,209.852,10558088.697674418,32.04439534883721,44.14944186046511
AWS,m4.large,2.4,8,2,8.59,51326796087,wordcount,2018-01-05 01:59:11,1420.798,7189704.311461068,87.94090113735783,56.185551181102355
AWS,r4.large,2.3,10,2,16.37,6104010447,pagerank,2018-01-06 14:09:39,884.527,9132987.588300629,58.32420955201777,71.32516845612736
AWS,m4.xlarge,2.4,10,4,17.18,2993586581,pagerank,2018-01-06 05:12:16,264.483,7943705.296296297,48.33933333333333,65.39651851851852
AWS,m4.xlarge,2.4,4,4,17.18,6104143946,pagerank,2018-01-05 18:56:14,2905.172,5662525.936525612,34.458065144766145,72.52241926503342
AWS,m4.2xlarge,2.4,4,8,34.36,6104074583,pagerank,2018-01-05 14:09:13,1580.979,6673916.661417323,20.255812007874017,73.90946358267715
AWS,r4.large,2.3,6,2,16.37,6104217589,pagerank,2018-01-06 16:20:57,1572.344,11132957.153113553,71.09633333333333,76.9475641025641
